,game,player,offball_zone_one,offball_zone_two,offball_zone_three,offball_zone_four,offball_zone_five,ball_one,ball_two,ball_three,ball_four,ball_five
201,20150313,696290,"(0.9387572858249303, 6)","(0.8523633639273086, 6)","(0.8562863224838924, 72)","(0.8780830028969173, 76)","(0.890415873403037, 49)",0,0,0,"(0.8514151560079295, 7)","(0.9089869138930577, 5)"
202,20150313,842296,0,"(1.0, 1)","(0.6858402143336771, 14)","(1.009494029770989, 15)","(0.806374807237511, 106)","(0.12639756867004354, 1)",0,"(0.9816247240633938, 6)","(0.9932828803463675, 8)","(0.908945037348732, 22)"
203,20150313,601143,"(0.9227654467885248, 6)","(0.7883550824856701, 10)","(0.5863451824889137, 69)","(0.8622916962745834, 24)","(0.7572367831863089, 15)",0,"(0.760433892021627, 1)","(0.7539492240324361, 3)",0,0
204,20150313,552319,0,0,"(0.5026949499249764, 1)",0,0,0,0,0,0,0
205,20150320,842301,"(0.7386353743415817, 9)","(0.6663470044447347, 23)","(0.5813789818781285, 302)","(0.5662735341967762, 13)","(1.2816001553801761, 5)","(1.127436214074048, 8)","(2.0939073942456865, 6)","(1.0080516075305044, 17)",0,0
206,20150320,601140,"(1.0, 1)","(0.6081513619505527, 7)","(0.9417996706980112, 22)","(0.7654190264846519, 26)","(0.8294563164912996, 396)",0,0,"(1.4213820266464703, 3)","(0.970848883348399, 6)","(0.9280456418516589, 141)"
207,20150320,756883,"(0.7467641262478076, 1)","(0.3621814490793914, 2)","(0.7953988264444773, 16)","(1.007909016340542, 26)","(0.9336355995970586, 326)","(6.499671231954082, 2)",0,"(0.9147200880720736, 2)","(0.9654986359665934, 7)","(0.9591769289271848, 92)"
208,20150320,842297,0,"(0.4097071283429148, 1)","(0.9240612608178606, 14)","(0.9960040321666827, 13)","(0.8376933632900895, 287)",0,0,"(1.216894023524583, 2)","(1.0920488011972262, 2)","(0.881925670964852, 221)"
209,20150320,842298,"(0.7151396800724295, 7)","(0.5723114634301225, 9)","(0.7928342674254508, 80)","(0.9533744633361741, 55)","(0.8339811929189049, 207)","(-0.25189053966847824, 2)","(0.6391924604897947, 1)","(1.2024736401123552, 17)","(1.0339653517944307, 5)","(1.003336554937771, 60)"
210,20150320,601143,"(0.6336027945797755, 2)","(0.9095187646907767, 9)","(0.6095490677752287, 271)","(0.6767098402810487, 41)","(0.9204752255833867, 20)","(0.7669846450900867, 5)","(0.7922303327660425, 4)","(0.8337520423643616, 2)",0,"(1.2489026779220385, 3)"
211,20150320,842296,"(1.0, 1)","(0.013865308507655954, 1)","(0.9296765589763755, 6)","(1.0833678717726944, 8)","(0.8874474721834917, 141)",0,0,"(1.091810528227713, 2)","(1.5729147008406457, 1)","(1.1401027994427881, 53)"
212,20150320,696290,"(0.7625594420167838, 4)","(0.7940132692631736, 10)","(0.768593276147235, 322)","(0.8578999838700552, 85)","(0.8278386247783586, 93)","(0.48759024222338654, 1)","(1.3329077048450575, 2)","(0.9646096513801713, 26)","(0.9619930673465693, 9)","(1.0990530524876159, 7)"
